line_no,diffmyers-HRegionServer.java,diffhistogram-HRegionServer.java,diffminimal-HRegionServer.java,diffpatience-HRegionServer.java
2141 , -      throw new serviceexception(ie); , -   * @param controller the rpc controller , -   * @param controller the rpc controller , -   * @param controller the rpc controller
2142 , -    } , -   * @param request the request , -   * @param request the request , -   * @param request the request
2143 , -  } , -   * @throws serviceexception , -   * @throws serviceexception , -   * @throws serviceexception
2144 , - , -   */ , -   */ , -   */
2146 , -  public getstorefileresponse getstorefile(final rpccontroller controller , -  @qospriority(priority=hconstants.high_qos) , -  @qospriority(priority=hconstants.high_qos) , -  @qospriority(priority=hconstants.high_qos)
2147 , -      final getstorefilerequest request) throws serviceexception { , -  public openregionresponse openregion(final rpccontroller controller , -  public openregionresponse openregion(final rpccontroller controller , -  public openregionresponse openregion(final rpccontroller controller
2148 , -    try { , -      final openregionrequest request) throws serviceexception { , -      final openregionrequest request) throws serviceexception { , -      final openregionrequest request) throws serviceexception {
2149 , -      checkopen(); , -    try { , -    try { , -    try {
2150 , -      hregion region = getregion(request.getregion()); , -      checkopen(); , -      checkopen(); , -      checkopen();
2151 , -      requestcount.increment(); , -    } catch (ioexception ie) { , -    } catch (ioexception ie) { , -    } catch (ioexception ie) {
2152 , -      set<byte[]> columnfamilies; , -      throw new serviceexception(ie); , -      throw new serviceexception(ie); , -      throw new serviceexception(ie);
2153 , -      if (request.getfamilycount() == 0) { , -    } , -    } , -    }
2154 , -        columnfamilies = region.getstores().keyset(); , -    requestcount.increment(); , -    requestcount.increment(); , -    requestcount.increment();
2155 , -      } else { , -    if (request.hasserverstartcode() && this.servernamefrommasterpov != null) { , -    if (request.hasserverstartcode() && this.servernamefrommasterpov != null) { , -    if (request.hasserverstartcode() && this.servernamefrommasterpov != null) {
2156 , -        columnfamilies = new treeset<byte[]>(bytes.bytes_rawcomparator); , -      // check that we are the same server that this rpc is intended for. , -      // check that we are the same server that this rpc is intended for. , -      // check that we are the same server that this rpc is intended for.
2157 , -        for (bytestring cf: request.getfamilylist()) { , -      long serverstartcode = request.getserverstartcode(); , -      long serverstartcode = request.getserverstartcode(); , -      long serverstartcode = request.getserverstartcode();
2158 , -          columnfamilies.add(cf.tobytearray()); , -      if (this.servernamefrommasterpov.getstartcode() !=  serverstartcode) { , -      if (this.servernamefrommasterpov.getstartcode() !=  serverstartcode) { , -      if (this.servernamefrommasterpov.getstartcode() !=  serverstartcode) {
2159 , -        } ," -        throw new serviceexception(new donotretryioexception(""this rpc was intended for a "" + "," -        throw new serviceexception(new donotretryioexception(""this rpc was intended for a "" + "," -        throw new serviceexception(new donotretryioexception(""this rpc was intended for a "" +"
2160 , -      } ," -            ""different server with startcode: "" + serverstartcode + ""', 'this server is: "" "," -            ""different server with startcode: "" + serverstartcode + ""', 'this server is: "" "," -            ""different server with startcode: "" + serverstartcode + ""', 'this server is: """
2161 , -      int ncf = columnfamilies.size(); , -            + this.servernamefrommasterpov)); , -            + this.servernamefrommasterpov)); , -            + this.servernamefrommasterpov));
2162 , -      list<string>  filelist = region.getstorefilelist( , -      } , -      } , -      }
2163 , -        columnfamilies.toarray(new byte[ncf][])); , -    } , -    } , -    }
2164 , -      getstorefileresponse.builder builder = getstorefileresponse.newbuilder(); , -    openregionresponse.builder builder = openregionresponse.newbuilder(); , -    openregionresponse.builder builder = openregionresponse.newbuilder(); , -    openregionresponse.builder builder = openregionresponse.newbuilder();
2165 , -      builder.addallstorefile(filelist); , -    final int regioncount = request.getopeninfocount(); , -    final int regioncount = request.getopeninfocount(); , -    final int regioncount = request.getopeninfocount();
2166 , -      return builder.build(); ," -    final map<tablename', 'htabledescriptor> htds = "," -    final map<tablename', 'htabledescriptor> htds = "," -    final map<tablename', 'htabledescriptor> htds ="
2167 , -    } catch (ioexception ie) { ," -        new hashmap<tablename', 'htabledescriptor>(regioncount); "," -        new hashmap<tablename', 'htabledescriptor>(regioncount); "," -        new hashmap<tablename', 'htabledescriptor>(regioncount);"
2168 , -      throw new serviceexception(ie); , -    final boolean isbulkassign = regioncount > 1; , -    final boolean isbulkassign = regioncount > 1; , -    final boolean isbulkassign = regioncount > 1;
2169 , -    } , -    for (regionopeninfo regionopeninfo : request.getopeninfolist()) { , -    for (regionopeninfo regionopeninfo : request.getopeninfolist()) { , -    for (regionopeninfo regionopeninfo : request.getopeninfolist()) {
2170 , -  } , -      final hregioninfo region = hregioninfo.convert(regionopeninfo.getregion()); , -      final hregioninfo region = hregioninfo.convert(regionopeninfo.getregion()); , -      final hregioninfo region = hregioninfo.convert(regionopeninfo.getregion());
2172 , -  @override , -      int versionofofflinenode = -1; , -      int versionofofflinenode = -1; , -      int versionofofflinenode = -1;
2173 , -  @qospriority(priority=hconstants.high_qos) , -      if (regionopeninfo.hasversionofofflinenode()) { , -      if (regionopeninfo.hasversionofofflinenode()) { , -      if (regionopeninfo.hasversionofofflinenode()) {
2174 , -  public getonlineregionresponse getonlineregion(final rpccontroller controller , -        versionofofflinenode = regionopeninfo.getversionofofflinenode(); , -        versionofofflinenode = regionopeninfo.getversionofofflinenode(); , -        versionofofflinenode = regionopeninfo.getversionofofflinenode();
2175 , -      final getonlineregionrequest request) throws serviceexception { , -      } , -      } , -      }
2176 , -    try { , -      htabledescriptor htd; , -      htabledescriptor htd; , -      htabledescriptor htd;
2177 , -      checkopen(); , -      try { , -      try { , -      try {
2178 , -      requestcount.increment(); , -        final hregion onlineregion = getfromonlineregions(region.getencodedname()); , -        final hregion onlineregion = getfromonlineregions(region.getencodedname()); , -        final hregion onlineregion = getfromonlineregions(region.getencodedname());
2179 , -      list<hregioninfo> list = new arraylist<hregioninfo>(onlineregions.size()); , -        if (onlineregion != null) { , -        if (onlineregion != null) { , -        if (onlineregion != null) {
2180 , -      for (hregion region: this.onlineregions.values()) { , -          //check if the region can actually be opened. , -          //check if the region can actually be opened. , -          //check if the region can actually be opened.
2181 , -        list.add(region.getregioninfo()); , -          if (onlineregion.getcoprocessorhost() != null) { , -          if (onlineregion.getcoprocessorhost() != null) { , -          if (onlineregion.getcoprocessorhost() != null) {
2182 , -      } , -            onlineregion.getcoprocessorhost().preopen(); , -            onlineregion.getcoprocessorhost().preopen(); , -            onlineregion.getcoprocessorhost().preopen();
2183 , -      collections.sort(list); , -          } , -          } , -          }
2184 , -      return responseconverter.buildgetonlineregionresponse(list); , -          // see hbase-5094. cross check with hbase:meta if still this rs is owning , -          // see hbase-5094. cross check with hbase:meta if still this rs is owning , -          // see hbase-5094. cross check with hbase:meta if still this rs is owning
2185 , -    } catch (ioexception ie) { , -          // the region. , -          // the region. , -          // the region.
2186 , -      throw new serviceexception(ie); ," -          pair<hregioninfo', 'servername> p = metareader.getregion( "," -          pair<hregioninfo', 'servername> p = metareader.getregion( "," -          pair<hregioninfo', 'servername> p = metareader.getregion("
2187 , -    } ," -              this.catalogtracker', 'region.getregionname()); "," -              this.catalogtracker', 'region.getregionname()); "," -              this.catalogtracker', 'region.getregionname());"
2188 , -  } , -          if (this.getservername().equals(p.getsecond())) { , -          if (this.getservername().equals(p.getsecond())) { , -          if (this.getservername().equals(p.getsecond())) {
2189 , - , -            boolean closing = regionsintransitioninrs.get(region.getencodednameasbytes()); , -            boolean closing = regionsintransitioninrs.get(region.getencodednameasbytes()); , -            boolean closing = regionsintransitioninrs.get(region.getencodednameasbytes());
2190 , -  // region open/close direct rpcs , -            // map regionsintransitioninrsonly has an entry for a region only if the region , -            // map regionsintransitioninrsonly has an entry for a region only if the region , -            // map regionsintransitioninrsonly has an entry for a region only if the region
2191 , - ," -            // is in transition on this rs', 'so here closing can be null. if not null', 'it can "," -            // is in transition on this rs', 'so here closing can be null. if not null', 'it can "," -            // is in transition on this rs', 'so here closing can be null. if not null', 'it can"
2192 , -  /** , -            // be true or false. true means the region is opening on this rs; while false , -            // be true or false. true means the region is opening on this rs; while false , -            // be true or false. true means the region is opening on this rs; while false
2193 , -   * open asynchronously a region or a set of regions on the region server. , -            // means the region is closing. only return already_opened if not closing (i.e. , -            // means the region is closing. only return already_opened if not closing (i.e. , -            // means the region is closing. only return already_opened if not closing (i.e.
2194 , -   * ," -            // not in transition any more', 'or still transition to open. "," -            // not in transition any more', 'or still transition to open. "," -            // not in transition any more', 'or still transition to open."
2195 ," -   * the opening is coordinated by zookeeper', 'and this method requires the znode to be created ", -            if (!boolean.false.equals(closing) , -            if (!boolean.false.equals(closing) , -            if (!boolean.false.equals(closing)
2196 ," -   *  before being called. as a consequence', 'this method should be called only from the master. ", -                && getfromonlineregions(region.getencodedname()) != null) { , -                && getfromonlineregions(region.getencodedname()) != null) { , -                && getfromonlineregions(region.getencodedname()) != null) {
2197 , -   * <p> ," -              log.warn(""attempted open of "" + region.getencodedname() "," -              log.warn(""attempted open of "" + region.getencodedname() "," -              log.warn(""attempted open of "" + region.getencodedname()"
2198 , -   * different manages states for the region are:<ul> ," -                + "" but already online on this server""); "," -                + "" but already online on this server""); "," -                + "" but already online on this server"");"
2199 , -   *  <li>region not opened: the region opening will start asynchronously.</li> , -              builder.addopeningstate(regionopeningstate.already_opened); , -              builder.addopeningstate(regionopeningstate.already_opened); , -              builder.addopeningstate(regionopeningstate.already_opened);
2200 , -   *  <li>a close is already in progress: this is considered as an error.</li> , -              continue; , -              continue; , -              continue;
2201 , -   *  <li>an open is already in progress: this new open request will be ignored. this is important , -            } , -            } , -            }
2202 , -   *  because the master can do multiple requests if it crashes.</li> , -          } else { , -          } else { , -          } else {
2203 , -   *  <li>the region is already opened:  this new open request will be ignored./li> ," -            log.warn(""the region "" + region.getencodedname() + "" is online on this server"" + "," -            log.warn(""the region "" + region.getencodedname() + "" is online on this server"" + "," -            log.warn(""the region "" + region.getencodedname() + "" is online on this server"" +"
2204 , -   *  </ul> ," -                "" but hbase:meta does not have this server - continue opening.""); "," -                "" but hbase:meta does not have this server - continue opening.""); "," -                "" but hbase:meta does not have this server - continue opening."");"
2205 , -   * </p> ," -            removefromonlineregions(onlineregion', 'null); "," -            removefromonlineregions(onlineregion', 'null); "," -            removefromonlineregions(onlineregion', 'null);"
2206 , -   * <p> , -          } , -          } , -          }
2207 ," -   * bulk assign: if there are more than 1 region to open', 'it will be considered as a bulk assign. ", -        } , -        } , -        }
2208 ," -   * for a single region opening', 'errors are sent through a serviceexception. for bulk assign "," -        log.info(""open "" + region.getregionnameasstring()); "," -        log.info(""open "" + region.getregionnameasstring()); "," -        log.info(""open "" + region.getregionnameasstring());"
2209 , -   * errors are put in the response as failed_opening. , -        htd = htds.get(region.gettable()); , -        htd = htds.get(region.gettable()); , -        htd = htds.get(region.gettable());
2210 , -   * </p> , -        if (htd == null) { , -        if (htd == null) { , -        if (htd == null) {
2211 , -   * @param controller the rpc controller , -          htd = this.tabledescriptors.get(region.gettable()); , -          htd = this.tabledescriptors.get(region.gettable()); , -          htd = this.tabledescriptors.get(region.gettable());
2212 , -   * @param request the request ," -          htds.put(region.gettable()', 'htd); "," -          htds.put(region.gettable()', 'htd); "," -          htds.put(region.gettable()', 'htd);"
2213 , -   * @throws serviceexception , -        } , -        } , -        }
2214 , -   */ , - , - , -
2215 , -  @override , -        final boolean previous = this.regionsintransitioninrs.putifabsent( , -        final boolean previous = this.regionsintransitioninrs.putifabsent( , -        final boolean previous = this.regionsintransitioninrs.putifabsent(
2216 , -  @qospriority(priority=hconstants.high_qos) ," -            region.getencodednameasbytes()', 'boolean.true); "," -            region.getencodednameasbytes()', 'boolean.true); "," -            region.getencodednameasbytes()', 'boolean.true);"
2217 , -  public openregionresponse openregion(final rpccontroller controller , - , - , -
2218 , -      final openregionrequest request) throws serviceexception { , -        if (boolean.false.equals(previous)) { , -        if (boolean.false.equals(previous)) { , -        if (boolean.false.equals(previous)) {
2219 , -    try { , -          // there is a close in progress. we need to mark this open as failed in zk. , -          // there is a close in progress. we need to mark this open as failed in zk. , -          // there is a close in progress. we need to mark this open as failed in zk.
2220 , -      checkopen(); , -          openregionhandler. , -          openregionhandler. , -          openregionhandler.
2221 , -    } catch (ioexception ie) { ," -              trytransitionfromofflinetofailedopen(this', 'region', 'versionofofflinenode); "," -              trytransitionfromofflinetofailedopen(this', 'region', 'versionofofflinenode); "," -              trytransitionfromofflinetofailedopen(this', 'region', 'versionofofflinenode);"
2222 , -      throw new serviceexception(ie); , - , - , -
2223 , -    } ," -          throw new regionalreadyintransitionexception(""received open for the region:"" + "," -          throw new regionalreadyintransitionexception(""received open for the region:"" + "," -          throw new regionalreadyintransitionexception(""received open for the region:"" +"
2224 , -    requestcount.increment(); ," -              region.getregionnameasstring() + ""', 'which we are already trying to close ""); "," -              region.getregionnameasstring() + ""', 'which we are already trying to close ""); "," -              region.getregionnameasstring() + ""', 'which we are already trying to close "");"
2225 , -    if (request.hasserverstartcode() && this.servernamefrommasterpov != null) { , -        } , -        } , -        }
2226 , -      // check that we are the same server that this rpc is intended for. , - , - , -
2227 , -      long serverstartcode = request.getserverstartcode(); , -        if (boolean.true.equals(previous)) { , -        if (boolean.true.equals(previous)) { , -        if (boolean.true.equals(previous)) {
2228 , -      if (this.servernamefrommasterpov.getstartcode() !=  serverstartcode) { ," -          // an open is in progress. this is supported', ""but let's log this.""] "," -          // an open is in progress. this is supported', ""but let's log this.""] "," -          // an open is in progress. this is supported', ""but let's log this.""]"
2229 ," -        throw new serviceexception(new donotretryioexception(""this rpc was intended for a "" + "," -          log.info(""receiving open for the region:"" + "," -          log.info(""receiving open for the region:"" + "," -          log.info(""receiving open for the region:"" +"
2230 ," -            ""different server with startcode: "" + serverstartcode + ""', 'this server is: "" "," -              region.getregionnameasstring() + ""', 'which we are already trying to open"" + "," -              region.getregionnameasstring() + ""', 'which we are already trying to open"" + "," -              region.getregionnameasstring() + ""', 'which we are already trying to open"" +"
2231 , -            + this.servernamefrommasterpov)); ," -              "" - ignoring this new request for this region.""); "," -              "" - ignoring this new request for this region.""); "," -              "" - ignoring this new request for this region."");"
2232 , -      } , -        } , -        } , -        }
2233 , -    } , - , - , -
2234 , -    openregionresponse.builder builder = openregionresponse.newbuilder(); ," -        // we are opening this region. if it moves back and forth for whatever reason', ""we don't""] "," -        // we are opening this region. if it moves back and forth for whatever reason', ""we don't""] "," -        // we are opening this region. if it moves back and forth for whatever reason', ""we don't""]"
2235 , -    final int regioncount = request.getopeninfocount(); , -        // want to keep returning the stale moved record while we are opening/if we close again. , -        // want to keep returning the stale moved record while we are opening/if we close again. , -        // want to keep returning the stale moved record while we are opening/if we close again.
2236 ," -    final map<tablename', 'htabledescriptor> htds = ", -        removefrommovedregions(region.getencodedname()); , -        removefrommovedregions(region.getencodedname()); , -        removefrommovedregions(region.getencodedname());
2237 ," -        new hashmap<tablename', 'htabledescriptor>(regioncount); ", - , - , -
2238 , -    final boolean isbulkassign = regioncount > 1; , -        if (previous == null) { , -        if (previous == null) { , -        if (previous == null) {
2239 , -    for (regionopeninfo regionopeninfo : request.getopeninfolist()) { , -          // check if the region to be opened is marked in recovering state in zk , -          // check if the region to be opened is marked in recovering state in zk , -          // check if the region to be opened is marked in recovering state in zk
2240 , -      final hregioninfo region = hregioninfo.convert(regionopeninfo.getregion()); , -          if (this.distributedlogreplay , -          if (this.distributedlogreplay , -          if (this.distributedlogreplay
2241 , - , -              && splitlogmanager.isregionmarkedrecoveringinzk(this.getzookeeper() , -              && splitlogmanager.isregionmarkedrecoveringinzk(this.getzookeeper() , -              && splitlogmanager.isregionmarkedrecoveringinzk(this.getzookeeper()
2242 , -      int versionofofflinenode = -1; , -            region.getencodedname())) { , -            region.getencodedname())) { , -            region.getencodedname())) {
2243 , -      if (regionopeninfo.hasversionofofflinenode()) { ," -            this.recoveringregions.put(region.getencodedname()', 'null); "," -            this.recoveringregions.put(region.getencodedname()', 'null); "," -            this.recoveringregions.put(region.getencodedname()', 'null);"
2244 , -        versionofofflinenode = regionopeninfo.getversionofofflinenode(); , -          } , -          } , -          }
2245 , -      } ," -          // if there is no action in progress', 'we can submit a specific handler. "," -          // if there is no action in progress', 'we can submit a specific handler. "," -          // if there is no action in progress', 'we can submit a specific handler."
2246 , -      htabledescriptor htd; , -          // need to pass the expected version in the constructor. , -          // need to pass the expected version in the constructor. , -          // need to pass the expected version in the constructor.
2247 , -      try { , -          if (region.ismetaregion()) { , -          if (region.ismetaregion()) { , -          if (region.ismetaregion()) {
2248 , -        final hregion onlineregion = getfromonlineregions(region.getencodedname()); ," -            this.service.submit(new openmetahandler(this', 'this', 'region', 'htd "," -            this.service.submit(new openmetahandler(this', 'this', 'region', 'htd "," -            this.service.submit(new openmetahandler(this', 'this', 'region', 'htd"
2249 , -        if (onlineregion != null) { , -                versionofofflinenode)); , -                versionofofflinenode)); , -                versionofofflinenode));
2250 , -          //check if the region can actually be opened. , -          } else { , -          } else { , -          } else {
2251 , -          if (onlineregion.getcoprocessorhost() != null) { , -            updateregionfavorednodesmapping(region.getencodedname() , -            updateregionfavorednodesmapping(region.getencodedname() , -            updateregionfavorednodesmapping(region.getencodedname()
2252 , -            onlineregion.getcoprocessorhost().preopen(); , -                regionopeninfo.getfavorednodeslist()); , -                regionopeninfo.getfavorednodeslist()); , -                regionopeninfo.getfavorednodeslist());
2253 , -          } ," -            this.service.submit(new openregionhandler(this', 'this', 'region', 'htd "," -            this.service.submit(new openregionhandler(this', 'this', 'region', 'htd "," -            this.service.submit(new openregionhandler(this', 'this', 'region', 'htd"
2254 , -          // see hbase-5094. cross check with hbase:meta if still this rs is owning , -                versionofofflinenode)); , -                versionofofflinenode)); , -                versionofofflinenode));
2255 , -          // the region. , -          } , -          } , -          }
2256 ," -          pair<hregioninfo', 'servername> p = metareader.getregion( ", -        } , -        } , -        }
2257 ," -              this.catalogtracker', 'region.getregionname()); ", - , - , -
2258 , -          if (this.getservername().equals(p.getsecond())) { , -        builder.addopeningstate(regionopeningstate.opened); , -        builder.addopeningstate(regionopeningstate.opened); , -        builder.addopeningstate(regionopeningstate.opened);
2259 , -            boolean closing = regionsintransitioninrs.get(region.getencodednameasbytes()); , - , - , -
2260 , -            // map regionsintransitioninrsonly has an entry for a region only if the region , -      } catch (keeperexception zookeeperex) { , -      } catch (keeperexception zookeeperex) { , -      } catch (keeperexception zookeeperex) {
2261 ," -            // is in transition on this rs', 'so here closing can be null. if not null', 'it can "," -        log.error(""can\'t retrieve recovering state from zookeeper""', 'zookeeperex); "," -        log.error(""can\'t retrieve recovering state from zookeeper""', 'zookeeperex); "," -        log.error(""can\'t retrieve recovering state from zookeeper""', 'zookeeperex);"
2262 , -            // be true or false. true means the region is opening on this rs; while false , -        throw new serviceexception(zookeeperex); , -        throw new serviceexception(zookeeperex); , -        throw new serviceexception(zookeeperex);
2263 , -            // means the region is closing. only return already_opened if not closing (i.e. , -      } catch (ioexception ie) { , -      } catch (ioexception ie) { , -      } catch (ioexception ie) {
2264 ," -            // not in transition any more', 'or still transition to open. "," -        log.warn(""failed opening region "" + region.getregionnameasstring()', 'ie); "," -        log.warn(""failed opening region "" + region.getregionnameasstring()', 'ie); "," -        log.warn(""failed opening region "" + region.getregionnameasstring()', 'ie);"
2265 , -            if (!boolean.false.equals(closing) , -        if (isbulkassign) { , -        if (isbulkassign) { , -        if (isbulkassign) {
2266 , -                && getfromonlineregions(region.getencodedname()) != null) { , -          builder.addopeningstate(regionopeningstate.failed_opening); , -          builder.addopeningstate(regionopeningstate.failed_opening); , -          builder.addopeningstate(regionopeningstate.failed_opening);
2267 ," -              log.warn(""attempted open of "" + region.getencodedname() ", -        } else { , -        } else { , -        } else {
2268 ," -                + "" but already online on this server""); ", -          throw new serviceexception(ie); , -          throw new serviceexception(ie); , -          throw new serviceexception(ie);
2269 , -              builder.addopeningstate(regionopeningstate.already_opened); , -        } , -        } , -        }
2270 , -              continue; , -      } , -      } , -      }
2271 , -            } , -    } , -    } , -    }
2272 , -          } else { , - , - , -
2273 ," -            log.warn(""the region "" + region.getencodedname() + "" is online on this server"" + ", -    return builder.build(); , -    return builder.build(); , -    return builder.build();
2274 ," -                "" but hbase:meta does not have this server - continue opening.""); ", -  } , -  } , -  }
2275 ," -            removefromonlineregions(onlineregion', 'null); ", - , - , -
2276 , -          } , @override , @override , @override
2277 , -        } , public void updateregionfavorednodesmapping(string encodedregionname , public void updateregionfavorednodesmapping(string encodedregionname , public void updateregionfavorednodesmapping(string encodedregionname
2278 ," -        log.info(""open "" + region.getregionnameasstring()); ", list<org.apache.hadoop.hbase.protobuf.generated.hbaseprotos.servername> favorednodes) { , list<org.apache.hadoop.hbase.protobuf.generated.hbaseprotos.servername> favorednodes) { , list<org.apache.hadoop.hbase.protobuf.generated.hbaseprotos.servername> favorednodes) {
2279 , -        htd = htds.get(region.gettable()); ," @@ -3751', '666 +2529', '11 @@ public class hregionserver implements clientprotos.clientservice.blockinginterfa "," @@ -3751', '666 +2529', '11 @@ public class hregionserver implements clientprotos.clientservice.blockinginterfa "," @@ -3751', '666 +2529', '11 @@ public class hregionserver implements clientprotos.clientservice.blockinginterfa"
2280 , -        if (htd == null) { , return regionfavorednodesmap.get(encodedregionname); , return regionfavorednodesmap.get(encodedregionname); , return regionfavorednodesmap.get(encodedregionname);
2281 , -          htd = this.tabledescriptors.get(region.gettable()); , } , } , }
2282 ," -          htds.put(region.gettable()', 'htd); ",  ,  , 
2283 , -        } , -  /** , -  /** , -  /**
2284 , - , -   * close a region on the region server. , -   * close a region on the region server. , -   * close a region on the region server.
2285 , -        final boolean previous = this.regionsintransitioninrs.putifabsent( , -   * , -   * , -   *
2286 ," -            region.getencodednameasbytes()', 'boolean.true); ", -   * @param controller the rpc controller , -   * @param controller the rpc controller , -   * @param controller the rpc controller
2287 , - , -   * @param request the request , -   * @param request the request , -   * @param request the request
2288 , -        if (boolean.false.equals(previous)) { , -   * @throws serviceexception , -   * @throws serviceexception , -   * @throws serviceexception
2289 , -          // there is a close in progress. we need to mark this open as failed in zk. , -   */ , -   */ , -   */
2290 , -          openregionhandler. , -  @override , -  @override , -  @override
2291 ," -              trytransitionfromofflinetofailedopen(this', 'region', 'versionofofflinenode); ", -  @qospriority(priority=hconstants.high_qos) , -  @qospriority(priority=hconstants.high_qos) , -  @qospriority(priority=hconstants.high_qos)
2292 , - , -  public closeregionresponse closeregion(final rpccontroller controller , -  public closeregionresponse closeregion(final rpccontroller controller , -  public closeregionresponse closeregion(final rpccontroller controller
2293 ," -          throw new regionalreadyintransitionexception(""received open for the region:"" + ", -      final closeregionrequest request) throws serviceexception { , -      final closeregionrequest request) throws serviceexception { , -      final closeregionrequest request) throws serviceexception {
2294 ," -              region.getregionnameasstring() + ""', 'which we are already trying to close ""); ", -    int versionofclosingnode = -1; , -    int versionofclosingnode = -1; , -    int versionofclosingnode = -1;
2295 , -        } , -    if (request.hasversionofclosingnode()) { , -    if (request.hasversionofclosingnode()) { , -    if (request.hasversionofclosingnode()) {
2296 , - , -      versionofclosingnode = request.getversionofclosingnode(); , -      versionofclosingnode = request.getversionofclosingnode(); , -      versionofclosingnode = request.getversionofclosingnode();
2297 , -        if (boolean.true.equals(previous)) { , -    } , -    } , -    }
2298 ," -          // an open is in progress. this is supported', ""but let's log this.""] ", -    boolean zk = request.gettransitioninzk(); , -    boolean zk = request.gettransitioninzk(); , -    boolean zk = request.gettransitioninzk();
2299 ," -          log.info(""receiving open for the region:"" + ", -    final servername sn = (request.hasdestinationserver() ? , -    final servername sn = (request.hasdestinationserver() ? , -    final servername sn = (request.hasdestinationserver() ?
2300 ," -              region.getregionnameasstring() + ""', 'which we are already trying to open"" + ", -      protobufutil.toservername(request.getdestinationserver()) : null); , -      protobufutil.toservername(request.getdestinationserver()) : null); , -      protobufutil.toservername(request.getdestinationserver()) : null);
2301 ," -              "" - ignoring this new request for this region.""); ", - , - , -
2302 , -        } , -    try { , -    try { , -    try {
2303 , - , -      checkopen(); , -      checkopen(); , -      checkopen();
2304 ," -        // we are opening this region. if it moves back and forth for whatever reason', ""we don't""] ", -      if (request.hasserverstartcode() && this.servernamefrommasterpov != null) { , -      if (request.hasserverstartcode() && this.servernamefrommasterpov != null) { , -      if (request.hasserverstartcode() && this.servernamefrommasterpov != null) {
2305 , -        // want to keep returning the stale moved record while we are opening/if we close again. , -        // check that we are the same server that this rpc is intended for. , -        // check that we are the same server that this rpc is intended for. , -        // check that we are the same server that this rpc is intended for.
2306 , -        removefrommovedregions(region.getencodedname()); , -        long serverstartcode = request.getserverstartcode(); , -        long serverstartcode = request.getserverstartcode(); , -        long serverstartcode = request.getserverstartcode();
2307 , - , -        if (this.servernamefrommasterpov.getstartcode() !=  serverstartcode) { , -        if (this.servernamefrommasterpov.getstartcode() !=  serverstartcode) { , -        if (this.servernamefrommasterpov.getstartcode() !=  serverstartcode) {
2308 , -        if (previous == null) { ," -          throw new serviceexception(new donotretryioexception(""this rpc was intended for a "" + "," -          throw new serviceexception(new donotretryioexception(""this rpc was intended for a "" + "," -          throw new serviceexception(new donotretryioexception(""this rpc was intended for a "" +"
2309 , -          // check if the region to be opened is marked in recovering state in zk ," -              ""different server with startcode: "" + serverstartcode + ""', 'this server is: "" "," -              ""different server with startcode: "" + serverstartcode + ""', 'this server is: "" "," -              ""different server with startcode: "" + serverstartcode + ""', 'this server is: """
2310 , -          if (this.distributedlogreplay , -              + this.servernamefrommasterpov)); , -              + this.servernamefrommasterpov)); , -              + this.servernamefrommasterpov));
2311 , -              && splitlogmanager.isregionmarkedrecoveringinzk(this.getzookeeper() , -        } , -        } , -        }
2312 , -            region.getencodedname())) { , -      } , -      } , -      }
2313 ," -            this.recoveringregions.put(region.getencodedname()', 'null); ", -      final string encodedregionname = protobufutil.getregionencodedname(request.getregion()); , -      final string encodedregionname = protobufutil.getregionencodedname(request.getregion()); , -      final string encodedregionname = protobufutil.getregionencodedname(request.getregion());
2314 , -          } , - , - , -
2315 ," -          // if there is no action in progress', 'we can submit a specific handler. "," [""-      // can be null if we're calling close on a region that's not online""] "," [""-      // can be null if we're calling close on a region that's not online""] "," [""-      // can be null if we're calling close on a region that's not online""]"
2316 , -          // need to pass the expected version in the constructor. , -      final hregion region = this.getfromonlineregions(encodedregionname); , -      final hregion region = this.getfromonlineregions(encodedregionname); , -      final hregion region = this.getfromonlineregions(encodedregionname);
2317 , -          if (region.ismetaregion()) { , -      if ((region  != null) && (region .getcoprocessorhost() != null)) { , -      if ((region  != null) && (region .getcoprocessorhost() != null)) { , -      if ((region  != null) && (region .getcoprocessorhost() != null)) {
2318 ," -            this.service.submit(new openmetahandler(this', 'this', 'region', 'htd ", -        region.getcoprocessorhost().preclose(false); , -        region.getcoprocessorhost().preclose(false); , -        region.getcoprocessorhost().preclose(false);
2319 , -                versionofofflinenode)); , -      } , -      } , -      }
2320 , -          } else { , - , - , -
2321 , -            updateregionfavorednodesmapping(region.getencodedname() , -      requestcount.increment(); , -      requestcount.increment(); , -      requestcount.increment();
2322 , -                regionopeninfo.getfavorednodeslist()); ," -      log.info(""close "" + encodedregionname + ""', 'via zk="" + (zk ? ""yes"" : ""no"") + "," -      log.info(""close "" + encodedregionname + ""', 'via zk="" + (zk ? ""yes"" : ""no"") + "," -      log.info(""close "" + encodedregionname + ""', 'via zk="" + (zk ? ""yes"" : ""no"") +"
2323 ," -            this.service.submit(new openregionhandler(this', 'this', 'region', 'htd "," -        ""', 'znode version="" + versionofclosingnode + ""', 'on "" + sn); "," -        ""', 'znode version="" + versionofclosingnode + ""', 'on "" + sn); "," -        ""', 'znode version="" + versionofclosingnode + ""', 'on "" + sn);"
2324 , -                versionofofflinenode)); , - , - , -
